"city","state","population"
"Citrus Heights","CA",87056
"Bend","OR",87014
"Bloomington","MN",86435
"Clifton","NJ",86334
"Duluth","MN",86110
"Champaign","IL",86096
"Chino","CA",85595
"Alhambra","CA",85551
"Ogden","UT",85444
"Redwood City","CA",85288
"Bellingham","WA",85146
"O'Fallon","MO",85040
"Hoover","AL",84848
"Danbury","CT",84657
"Edinburg","TX",84497
"Trenton","NJ",84225
"Santa Fe","NM",84099
"Bloomington","IN",84067
"Cicero","IL",83886
"Hemet","CA",83861
"Johns Creek","GA",83335
"Mission","TX",83298
"Troy","MI",83280
"Buena Park","CA",83270
"Palm Coast","FL",82893
"Fayetteville","AR",82830
"Sioux City","IA",82821
"Lake Forest","CA",82492
"Merced","CA",82436
"Longview","TX",82287
"Bryan","TX",82118
"Westland","MI",82000
"Warwick","RI",81699
"Lakewood","CA",81611
"Farmington Hills","MI",81330
"Mount Pleasant","SC",81317
"Cranston","RI",81073
"Largo","FL",81000
"Avondale","AZ",80684
"Tustin","CA",80583
"Mountain View","CA",80435
"Napa","CA",80434
"Somerville","MA",80318
"Lawrence","MA",80231
"St. George","UT",80202
"Melbourne","FL",80127
"Parma","OH",79937
"New Rochelle","NY",79846
"Lynchburg","VA",79812
"Medford","OR",79805
"Deerfield Beach","FL",79768
"Pleasanton","CA",79510
"Brooklyn Park","MN",79149
"Goodyear","AZ",79003
"Kennewick","WA",78896
"Alameda","CA",78630
"Bellflower","CA",78441
"Chino Hills","CA",78309
"Bloomington","IL",78292
"Springdale","AR",77859
"Racine","WI",77742
"Hammond","IN",77614
"Milpitas","CA",77604
"Gary","IN",77156
"Scranton","PA",77118
"Baldwin Park","CA",77071
"Auburn","WA",77006
"St. Joseph","MO",76596
"Pharr","TX",76538
"Upland","CA",76443
"Folsom","CA",76375
"Baytown","TX",76335
"San Ramon","CA",76134
"Camden","NJ",76119
"Lake Charles","LA",76070
"Kalamazoo","MI",76041
"Arlington Heights","IL",75926
"Plymouth","MN",75907
"Evanston","IL",75527
"Manteca","CA",75448
"Wyoming","MI",75275
"Loveland","CO",75182
"Perris","CA",74971
"Bethlehem","PA",74892
"Albany","GA",74843
"Schaumburg","IL",74693
"Gastonia","NC",74543
"Union City","CA",74494
"Bolingbrook","IL",74306
"Iowa City","IA",74220
"Layton","UT",74143
"Missouri City","TX",74139
"Appleton","WI",74139
"Fort Myers","FL",74013
"Boynton Beach","FL",73966
"Jonesboro","AR",73907
"Rapid City","SD",73569
"Warner Robins","GA",73490
"Rochester Hills","MI",73424
"Decatur","IL",73254
"Southfield","MI",73156
"New Britain","CT",72808
"Franklin","TN",72639
"Turlock","CA",72292
"Temple","TX",72277
"Apple Valley","CA",72174
"Lynwood","CA",71989
"Waukesha","WI",71970
"Wilmington","DE",71948
"Canton","OH",71885
"Gulfport","MS",71856
"Pawtucket","RI",71591
"Lauderhill","FL",71579
"Rock Hill","SC",71548
"Flower Mound","TX",71253
"Bismarck","ND",71167
"Lafayette","IN",71111
"Passaic","NJ",71085
"Redlands","CA",71035
"Missoula","MT",71022
"Rancho Cordova","CA",71017
"New Braunfels","TX",70543
"Flagstaff","AZ",70320
"Muncie","IN",70087
"Weston","FL",69959
"Frederick","MD",69479
